token	corpus size	all contexts size	frequency	co-frequency	specificity
RIF-BLD	262193	18769	11	3	1.48
Clojure	262193	18769	11	3	1.48
93	262193	18769	28	5	1.48
for	262193	18769	1687	125	1.46
9	262193	18769	153	16	1.46
knowledge	262193	18769	229	22	1.46
However	262193	18769	105	12	1.45
learning	262193	18769	142	15	1.44
especially	262193	18769	29	5	1.43
answer	262193	18769	29	5	1.43
background	262193	18769	29	5	1.43
show	262193	18769	39	6	1.42
existing	262193	18769	39	6	1.42
This	262193	18769	448	38	1.41
involving	262193	18769	20	4	1.41
showing	262193	18769	20	4	1.41
reading	262193	18769	20	4	1.41
parallel	262193	18769	20	4	1.41
issues	262193	18769	50	7	1.40
Today	262193	18769	5	2	1.39
characterizations	262193	18769	5	2	1.39
sees	262193	18769	5	2	1.39
formulating	262193	18769	5	2	1.39
examined	262193	18769	5	2	1.39
Intuitionistic	262193	18769	5	2	1.39
hypothetical	262193	18769	5	2	1.39
Frege's	262193	18769	5	2	1.39
formalization	262193	18769	5	2	1.39
McKeon	262193	18769	5	2	1.39
158	262193	18769	5	2	1.39
assessment	262193	18769	5	2	1.39
puzzle	262193	18769	5	2	1.39
Schlichtkrull	262193	18769	5	2	1.39
Mixed-signal	262193	18769	5	2	1.39
Object-oriented	262193	18769	5	2	1.39
fault	262193	18769	5	2	1.39
generalisations	262193	18769	5	2	1.39
concurrency	262193	18769	5	2	1.39
279	262193	18769	5	2	1.39
Cropper	262193	18769	5	2	1.39
Dumančić	262193	18769	5	2	1.39
Dependent	262193	18769	5	2	1.39
mutual	262193	18769	5	2	1.39
myth	262193	18769	5	2	1.39
heavily	262193	18769	5	2	1.39
instructions	262193	18769	5	2	1.39
Riguzzi	262193	18769	5	2	1.39
strengths	262193	18769	5	2	1.39
incorporate	262193	18769	5	2	1.39
caveats	262193	18769	5	2	1.39
publishes	262193	18769	5	2	1.39
philosophy	262193	18769	73	9	1.38
context	262193	18769	40	6	1.38
concrete	262193	18769	12	3	1.38
Major	262193	18769	12	3	1.38
primarily	262193	18769	12	3	1.38
flexible	262193	18769	12	3	1.38
Transactions	262193	18769	12	3	1.38
Montague	262193	18769	12	3	1.38
combining	262193	18769	12	3	1.38
generic	262193	18769	12	3	1.38
purely	262193	18769	12	3	1.38
distributed	262193	18769	12	3	1.38
Tim	262193	18769	12	3	1.38
intended	262193	18769	30	5	1.38
36	262193	18769	30	5	1.38
Modal	262193	18769	21	4	1.35
entailment	262193	18769	21	4	1.35
combination	262193	18769	21	4	1.35
unique	262193	18769	21	4	1.35
query	262193	18769	63	8	1.35
reason	262193	18769	52	7	1.34
without	262193	18769	99	11	1.34
Conference	262193	18769	31	5	1.33
45	262193	18769	31	5	1.33
resolution	262193	18769	31	5	1.33
topics	262193	18769	42	6	1.31
between	262193	18769	285	25	1.31
introduce	262193	18769	13	3	1.30
simplified	262193	18769	13	3	1.30
family	262193	18769	13	3	1.30
ASP	262193	18769	13	3	1.30
Kowalski	262193	18769	13	3	1.30
Dynamic	262193	18769	13	3	1.30
en.wikipedia.org/w/index.php?title	262193	18769	13	3	1.30
Abstract	262193	18769	13	3	1.30
science	262193	18769	441	36	1.30
represents	262193	18769	22	4	1.30
fixed	262193	18769	22	4	1.30
offers	262193	18769	22	4	1.30
computing	262193	18769	32	5	1.29
38	262193	18769	32	5	1.29
Articles	262193	18769	32	5	1.29
ability	262193	18769	32	5	1.29
from	262193	18769	851	62	1.28
From	262193	18769	66	8	1.27
Foundations	262193	18769	66	8	1.27
general	262193	18769	141	14	1.27
an	262193	18769	765	56	1.26
takes	262193	18769	33	5	1.25
associated	262193	18769	23	4	1.25
Lifschitz	262193	18769	6	2	1.24
unable	262193	18769	6	2	1.24
games	262193	18769	6	2	1.24
correspond	262193	18769	6	2	1.24
speech	262193	18769	6	2	1.24
transistors	262193	18769	6	2	1.24
Putnam	262193	18769	6	2	1.24
medieval	262193	18769	6	2	1.24
197	262193	18769	6	2	1.24
205	262193	18769	6	2	1.24
274	262193	18769	6	2	1.24
Eemeren	262193	18769	6	2	1.24
Gómez-Torrente	262193	18769	6	2	1.24
Kouri	262193	18769	6	2	1.24
Kissel	262193	18769	6	2	1.24
Goble	262193	18769	6	2	1.24
Kurt	262193	18769	6	2	1.24
Jaakko	262193	18769	6	2	1.24
Encyclopædia	262193	18769	6	2	1.24
incorporates	262193	18769	6	2	1.24
Usually	262193	18769	6	2	1.24
r(X	262193	18769	6	2	1.24
uniform	262193	18769	6	2	1.24
Words	262193	18769	6	2	1.24
Origins	262193	18769	6	2	1.24
Similar	262193	18769	6	2	1.24
simplify	262193	18769	6	2	1.24
electrically	262193	18769	6	2	1.24
Printed	262193	18769	6	2	1.24
Integrated	262193	18769	6	2	1.24
Hybrid	262193	18769	6	2	1.24
checking	262193	18769	6	2	1.24
Among	262193	18769	6	2	1.24
naturally	262193	18769	6	2	1.24
Transfer	262193	18769	6	2	1.24
Recursive	262193	18769	6	2	1.24
timeline	262193	18769	6	2	1.24
subsequent	262193	18769	6	2	1.24
Int	262193	18769	6	2	1.24
darsanas	262193	18769	6	2	1.24
posed	262193	18769	6	2	1.24
These	262193	18769	80	9	1.23
definition	262193	18769	56	7	1.23
deductively	262193	18769	14	3	1.23
insights	262193	18769	14	3	1.23
aspect	262193	18769	14	3	1.23
Reference	262193	18769	14	3	1.23
variants	262193	18769	14	3	1.23
harry	262193	18769	14	3	1.23
abductive	262193	18769	14	3	1.23
parameters	262193	18769	14	3	1.23
Intelligence	262193	18769	93	10	1.22
them	262193	18769	145	14	1.22
major	262193	18769	45	6	1.22
circuits	262193	18769	45	6	1.22
growth	262193	18769	45	6	1.22
variety	262193	18769	34	5	1.22
universal	262193	18769	34	5	1.22
difference	262193	18769	34	5	1.22
proofs	262193	18769	34	5	1.22
29	262193	18769	69	8	1.21
we	262193	18769	345	28	1.20
but	262193	18769	316	26	1.20
closely	262193	18769	24	4	1.20
Moreover	262193	18769	24	4	1.20
framework	262193	18769	24	4	1.20
parts	262193	18769	46	6	1.19
consists	262193	18769	35	5	1.18
Proof	262193	18769	35	5	1.18
6	262193	18769	248	21	1.17
logicians	262193	18769	15	3	1.16
machines	262193	18769	15	3	1.16
employ	262193	18769	15	3	1.16
rely	262193	18769	15	3	1.16
supports	262193	18769	15	3	1.16
subgoals	262193	18769	15	3	1.16
planning	262193	18769	15	3	1.16
corresponds	262193	18769	15	3	1.16
de	262193	18769	47	6	1.16
dialects	262193	18769	47	6	1.16
well	262193	18769	110	11	1.16
development	262193	18769	84	9	1.16
consequence	262193	18769	84	9	1.16
restricted	262193	18769	25	4	1.16
deductive	262193	18769	36	5	1.15
expression	262193	18769	36	5	1.15
clauses	262193	18769	72	8	1.15
RDF	262193	18769	345	27	1.15
stipulates	262193	18769	1	1	1.15
program’s	262193	18769	1	1	1.15
Stoic	262193	18769	1	1	1.15
roots	262193	18769	1	1	1.15
originates	262193	18769	1	1	1.15
logos	262193	18769	1	1	1.15
widest	262193	18769	1	1	1.15
simplicity	262193	18769	1	1	1.15
exactness	262193	18769	1	1	1.15
non-formal	262193	18769	1	1	1.15
flies	262193	18769	1	1	1.15
accord	262193	18769	1	1	1.15
violated	262193	18769	1	1	1.15
chess	262193	18769	1	1	1.15
assigns	262193	18769	1	1	1.15
categorization	262193	18769	1	1	1.15
divides	262193	18769	1	1	1.15
classifying	262193	18769	1	1	1.15
smallest	262193	18769	1	1	1.15
alethic	262193	18769	1	1	1.15
meta-logical	262193	18769	1	1	1.15
dialogical	262193	18769	1	1	1.15
presuppositions	262193	18769	1	1	1.15
incur	262193	18769	1	1	1.15
Photograph	262193	18769	1	1	1.15
subareas	262193	18769	1	1	1.15
logicism	262193	18769	1	1	1.15
philosopher-logicians	262193	18769	1	1	1.15
crippling	262193	18769	1	1	1.15
electronically	262193	18769	1	1	1.15
voltages	262193	18769	1	1	1.15
Maddy	262193	18769	1	1	1.15
western	262193	18769	1	1	1.15
Bottom	262193	18769	1	1	1.15
founders	262193	18769	1	1	1.15
contributor	262193	18769	1	1	1.15
Organon	262193	18769	1	1	1.15
